date,number
2022-04-08,2670
2022-04-09,1165
2022-04-10,1207
2022-04-11,2863
2022-04-12,3368
2022-04-13,3477
2022-04-14,3403
2022-04-15,1688
2022-04-16,1122
2022-04-17,1313
2022-04-18,1335
2022-04-19,1959
2022-04-20,3689
2022-04-21,4037
2022-04-22,1830
2022-04-23,2071
2022-04-24,1761
2022-04-25,3335
2022-04-26,3792
2022-04-27,3085
2022-04-28,4268
2022-04-29,4159
2022-04-30,2757
2022-05-01,1624
2022-05-02,4428
2022-05-03,5339
2022-05-04,4612
2022-05-05,4798
2022-05-06,3437
2022-05-07,1886
2022-05-08,2332
2022-05-09,5055
2022-05-10,5909
2022-05-11,5909
2022-05-12,5486
2022-05-13,3486
2022-05-14,3488
2022-05-15,3178
2022-05-16,5646
2022-05-17,3204
2022-05-18,5903
2022-05-19,5773
2022-05-20,5174
2022-05-21,3012
2022-05-22,3141
2022-05-23,5277
2022-05-24,4333
2022-05-25,3588
2022-05-26,3047
2022-05-27,3540
2022-05-28,2434
2022-05-29,1767
2022-05-30,5032
2022-05-31,5756
2022-06-01,5750
2022-06-02,4862
2022-06-03,2949
2022-06-04,2785
2022-06-05,2640
2022-06-06,3487
2022-06-07,4922
2022-06-08,3295
2022-06-09,2287
2022-06-10,3358
2022-06-11,3223
2022-06-12,4488
2022-06-13,5680
2022-06-14,5524
2022-06-15,2825
2022-06-16,4007
2022-06-17,3336
2022-06-18,2975
2022-06-19,5032
2022-06-20,5876
2022-06-21,5374
2022-06-22,5663
2022-06-23,4932
2022-06-24,2466
2022-06-25,3144
2022-06-26,5171
2022-06-27,5434
2022-06-28,5236
2022-06-29,5018
2022-06-30,4765
2022-07-01,4144
2022-07-02,3090
2022-07-03,2969
2022-07-04,4288
2022-07-05,3947
2022-07-06,4889
2022-07-07,4344
2022-07-08,3521
2022-07-09,2392
2022-07-10,2064
2022-07-11,4455
2022-07-12,5133
2022-07-13,5146
2022-07-14,4733
2022-07-15,4204
2022-07-16,3075
2022-07-17,2973
2022-07-18,4770
2022-07-19,5027
2022-07-20,4702
2022-07-21,4465
2022-07-22,3846
2022-07-23,2544
2022-07-24,2867
2022-07-25,4506
2022-07-26,2921
2022-07-27,4741
2022-07-28,5138
2022-07-29,3688
2022-07-30,1946
2022-07-31,2793
2022-08-01,4295
2022-08-02,5105
2022-08-03,5111
2022-08-04,4612
2022-08-05,4008
2022-08-06,2496
2022-08-07,2668
2022-08-08,3373
2022-08-09,4758
2022-08-10,4729
2022-08-11,4470
2022-08-12,3779
2022-08-13,2599
2022-08-14,2417
2022-08-15,2763
2022-08-16,4535
2022-08-17,4668
2022-08-18,4291
2022-08-19,3418
2022-08-20,2232
2022-08-21,1720
2022-08-22,2054
2022-08-23,2819
2022-08-24,4507
2022-08-25,3959
2022-08-26,3770
2022-08-27,2604
2022-08-28,2089
2022-08-29,4589
2022-08-30,5110
2022-08-31,4181
2022-09-01,4611
2022-09-02,4200
2022-09-03,2934
2022-09-04,2596
2022-09-05,5035
2022-09-06,5602
2022-09-07,5599
2022-09-08,4239
2022-09-09,3841
2022-09-10,2762
2022-09-11,1837
2022-09-12,4579
2022-09-13,5190
2022-09-14,4391
2022-09-15,3871
2022-09-16,3679
2022-09-17,2171
2022-09-18,1680
2022-09-19,3153
2022-09-20,3429
2022-09-21,4292
2022-09-22,4177
2022-09-23,3982
2022-09-24,2372
2022-09-25,1759
2022-09-26,3547
2022-09-27,3186
2022-09-28,4309
2022-09-29,3606
2022-09-30,2811
2022-10-01,2046
2022-10-02,1509
2022-10-03,4146
2022-10-04,4526
2022-10-05,4766
2022-10-06,4796
2022-10-07,4151
2022-10-08,2587
2022-10-09,2140
2022-10-10,4247
2022-10-11,4705
2022-10-12,4534
2022-10-13,4567
2022-10-14,3032
2022-10-15,1450
2022-10-16,2053
2022-10-17,4726
2022-10-18,5145
2022-10-19,4793
2022-10-20,4716
2022-10-21,3715
2022-10-22,1692
2022-10-23,2081
2022-10-24,3762
2022-10-25,4300
2022-10-26,1837
2022-10-27,3611
2022-10-28,2723
2022-10-29,1656
2022-10-30,1614
2022-10-31,2593
2022-11-01,1645
2022-11-02,4023
2022-11-03,4368
2022-11-04,1956
2022-11-05,1846
2022-11-06,1885
